name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
alvarolobato/jenkins	1463063003	1501795078	38732075	225700457	186968382	0	0	0	0	1	0	8167	100	14205	0.39	0.2	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02
alvarolopez/nova	1322129550	1455555031	133425481	366633910	233208429	1	0	0	0	1	0	2546	100	12739	0.13	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03
alvinhochun/sony-nicki-ss-kernel-caf	1382778253	1383815504	1037251	305985207	304947956	0	0	0	0	0	0	0	100	92345	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
alwold/rpi-linux	1361221048	1361226558	5510	327542412	327536902	0	0	0	0	0	2	2	100	98361	0.1	0.04	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02
am11/Criterion	1441542633	1550613023	109070390	247220827	138150437	0	0	0	0	1	0	168	11	1304	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
am2012/android_kernel_motorola_msm8610	1440155986	1440033619	-122367	248607474	248729841	0	0	0	0	1	0	39	100	93217	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
am2012/g3_kernel	1443217056	1442443327	-773729	245546404	246320133	0	0	0	0	1	0	16	100	93407	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
aman-iitj/scipy	1419406572	1443182691	23776119	269356888	245580769	0	0	0	0	1	0	4771	100	10545	0.19	0.14	0.09	0.08	0.05	0.04	0.04	0.04	0.03	0.02
amandalund/openmc	1404761128	1634754387	229993259	284002332	54009073	1	0	0	0	1	0	387	67	9299	0.43	0.12	0.11	0.09	0.04	0.02	0.02	0.02	0.01	0.01
amanzi/amanzi	1469213442	1688618515	219405073	219550018	144945	43	0	0	136	0	32	32	34	12102	0.42	0.1	0.08	0.08	0.07	0.05	0.04	0.04	0.02	0.02
amanzi/ats	1469485108	1688417399	218932291	219278352	346061	31	0	0	37	0	32	32	20	3851	0.77	0.09	0.04	0.03	0.01	0.01	0.01	0.01	0.01	0.01
amanzi/ats-dev	1469485108	1688417399	218932291	219278352	346061	31	0	0	37	0	32	32	20	3851	0.77	0.09	0.04	0.03	0.01	0.01	0.01	0.01	0.01	0.01
amarathe84/caliper	1517428542	1569534332	52105790	171334918	119229128	0	0	0	0	1	0	51	12	1039	0.82	0.08	0.06	0.01	0.01	0.01	0.01	0.0	0.0	0.0
amarathe84/geopm	1472145825	1686788933	214643108	216617635	1974527	1	0	0	2	1	1	43	25	4687	0.44	0.17	0.16	0.09	0.05	0.04	0.03	0.02	0.01	0.0
amardeep434/nkernel	1479564780	1487199903	7635123	209198680	201563557	0	0	0	0	0	0	0	100	93521	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
amaringarcia/AliPhysics	1490694975	1669894700	179199725	198068485	18868760	0	0	0	0	1	0	754	100	44604	0.41	0.05	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.01
amatsus/docker	1488968688	1501593606	12624918	199794772	187169854	0	0	0	0	1	0	18758	100	22284	0.1	0.08	0.06	0.06	0.06	0.06	0.04	0.04	0.04	0.03
amatus/linux	1407943446	1436209798	28266352	280820014	252553662	0	0	0	0	1	0	48616	100	131250	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
amatyja/AliPhysics	1497022104	1593703684	96681580	191741356	95059776	0	0	0	0	1	0	754	100	36940	0.38	0.05	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01
AmauryEsparza/linux	1378838466	1378776486	-61980	309924994	309986974	1	0	0	0	1	0	48738	100	116606	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
amaxwell/fileview	1407096946	1612839204	205742258	281666514	75924256	3	0	0	0	0	0	0	1	690	1.0	0	0	0	0	0	0	0	0	0
ambikadash/linux-fqt	1472712668	1505223855	32511187	216050792	183539605	0	0	0	0	0	0	0	100	125119	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
amburan/gecko	1421970484	1459522700	37552216	266792976	229240760	0	0	0	0	1	0	409	4	48	0.62	0.25	0.08	0.04	0	0	0	0	0	0
amburan/moose	1395168947	1436224393	41055446	293594513	252539067	0	0	0	0	1	0	918	21	5424	0.31	0.21	0.19	0.1	0.05	0.05	0.04	0.03	0.01	0.01
