name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
StuntRR/StuntRR-kernel	1433906643	1509937468	76030825	254773449	178742624	0	0	0	0	1	0	125	100	93542	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stuxnet-Kernel/kernel_g3	1421524620	1423481769	1957149	267155472	265198323	2	0	0	0	0	0	0	100	92405	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stuxnet-Kernel/kernel_mako	1416442779	1420535449	4092670	272237313	268144643	4	0	0	0	0	1	1	100	92050	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stuxnet-Kernel/kernel_shamu	1419195911	1421532435	2336524	269484181	267147657	0	0	0	0	0	0	0	100	112182	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Stuxnet-Kernel/stuxnet_cancro	1431123333	1432449065	1325732	257556759	256231027	1	0	0	0	0	1	1	100	92374	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
SubhrajyotiSen/HelioxKernelHarpia	1487514628	1517851868	30337240	201165464	170828224	1	0	0	0	0	1	1	100	112824	0.1	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
SubhrajyotiSen/HelioxKernelOnyx	1478711106	1489748112	11037006	209968986	198931980	1	0	0	0	0	0	0	100	92426	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
Sublime-Development/kernel_flounder	1448891249	1566166455	117275206	239788843	122513637	5	0	0	0	0	0	0	100	113535	0.1	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
SudaMod-devices/android_kernel_google_msm	1435226543	1452150059	16923516	253453549	236530033	0	0	0	0	1	0	2	100	92083	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
SudaMod-devices/android_kernel_oneplus_msm8974	1427362690	1459594560	32231870	261317402	229085532	0	0	0	0	1	0	293	100	93491	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
